"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19194";"19194";"ARARUNA";"20";"13";"VEREADOR";"12902";"45";"14";"12902";"45";"10803";"2099";"8996";"188";"684";"935";"0";"05/10/2008";"19:05:21"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19151";"19151";"ARAÇAGI";"10";"11";"PREFEITO";"13879";"44";"0";"13879";"44";"10641";"3238";"9880";"191";"570";"0";"0";"05/10/2008";"18:39:03"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19151";"19151";"ARAÇAGI";"10";"13";"VEREADOR";"13879";"44";"0";"13879";"44";"10641";"3238";"9253";"204";"329";"855";"0";"05/10/2008";"18:39:03"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19216";"19216";"AREIA";"11";"11";"PREFEITO";"18228";"51";"34";"18228";"51";"15256";"2972";"13610";"408";"1238";"0";"0";"05/10/2008";"18:01:03"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19216";"19216";"AREIA";"11";"13";"VEREADOR";"18228";"51";"34";"18228";"51";"15256";"2972";"13036";"440";"521";"1259";"0";"05/10/2008";"18:01:03"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19909";"19909";"AREIA DE BARAÚNAS";"65";"11";"PREFEITO";"1754";"5";"3";"1754";"5";"1575";"179";"1495";"11";"69";"0";"0";"05/10/2008";"18:49:05"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19909";"19909";"AREIA DE BARAÚNAS";"65";"13";"VEREADOR";"1754";"5";"3";"1754";"5";"1575";"179";"1416";"9";"60";"90";"0";"05/10/2008";"18:49:05"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19232";"19232";"AREIAL";"19";"11";"PREFEITO";"5169";"15";"0";"5169";"15";"4389";"780";"4115";"75";"199";"0";"0";"05/10/2008";"17:51:02"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19232";"19232";"AREIAL";"19";"13";"VEREADOR";"5169";"15";"0";"5169";"15";"4389";"780";"3808";"70";"232";"279";"0";"05/10/2008";"17:51:02"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19259";"19259";"AROEIRAS";"49";"11";"PREFEITO";"15010";"49";"3";"15010";"49";"12410";"2600";"11533";"202";"675";"0";"0";"05/10/2008";"18:31:03"
"25/02/2013";"10:37:10";"2008";"1";"ELEIÇÕES 2008";"PB";"19259";"19259";"AROEIRAS";"49";"13";"VEREADOR";"15010";"49";"3";"15010";"49";"12410";"2600";"10649";"223";"558";"980";"0";"05/10/2008";"18:31:03"
