"","eleicao","aptos","comparecimentos","abstencoes","abstencoes_pc","brancos","brancos_pc","nulos","nulos_pc","invalidos","invalidos_pc"
"1",2002,2322068,1905508,416560,17.9391817982936,98779,4.25392365770511,212921,9.16945584711559,728260,31.3625613031143
"2",2004,2468429,2150722,317707,12.8708178359596,30591,1.23929025303138,116815,4.73236216233078,465113,18.8424702513218
"3",2006,2573766,2154153,419613,16.3034634850254,66221,2.57292232471794,187446,7.28294646832696,673280,26.1593322780703
"4",2008,2668855,2310312,358543,13.4343379464227,43724,1.63830556549532,161779,6.06173808618303,564046,21.1343815981011
"5",2010,2738313,2232261,506052,18.4804293738517,101032,3.68957091464708,237303,8.66602904781155,844387,30.8360293363104
"6",2012,2876327,2417181,459146,15.9629277199706,60012,2.08641089834362,144590,5.02689715042831,663748,23.0762357687426
